bbl,address,lotarea,zonedist1,landuse,overlay1,max_height,maxComm,maxResi,WAREHOUSES,INDUSTRIAL/RETAIL,MAKERS/OFFICE,HOUSING UNITS,RESIDENTS (PPL),current_height,current_RESIDENTS (PPL),current_WAREHOUSES,current_INDUSTRIAL/RETAIL,current_OFFICE,total_JOBS
3005130040,23 LUQUER STREET,2500.0,M1-1,One & Two Family Buildings,,30.0,2500.0,0.0,0.0,4.0,12.0,0.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0
3005080025,30 RICHARDS STREET,9999.0,M1-1,Industrial & Manufacturing,,30.0,9999.0,0.0,3.0,16.0,49.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,5.0
3005360005,715 HENRY STREET,1836.0,R5,Multi-Family Walk-Up Buildings,,30.0,0.0,2295.0,0.0,0.0,0.0,3.0,8.0,44.0,43.0,0.0,0.0,0.0,0.0
3005120020,37 RICHARDS STREET,4000.0,M1-1,Industrial & Manufacturing,,30.0,4000.0,0.0,1.0,6.0,20.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0
3005640015,151 SULLIVAN STREET,1933.0,M2-1,One & Two Family Buildings,,60.0,3866.0,0.0,1.0,6.0,19.0,0.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0
3006000005,169 DWIGHT STREET,12500.0,M1-1,Industrial & Manufacturing,,30.0,12500.0,0.0,4.0,20.0,62.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,4.0
3005460002,307 VAN BRUNT STREET,2250.0,R5,One & Two Family Buildings,C1-3,30.0,2250.0,2812.5,0.0,3.0,11.0,3.0,8.0,33.0,5.0,0.0,0.0,0.0,0.0
3005650013,111 SULLIVAN STREET,2375.0,R5,Multi-Family Walk-Up Buildings,C1-3,30.0,2375.0,2968.75,0.0,3.0,11.0,3.0,8.0,40.37,8.0,0.0,0.0,0.0,0.0
3005750026,382 VAN BRUNT STREET,1500.0,R5,Mixed Residential & Commercial Buildings,C1-3,30.0,1500.0,1875.0,0.0,2.0,7.0,2.0,5.0,33.0,5.0,0.0,1.0,0.0,1.0
3005560008,315 VAN BRUNT STREET,1855.0,R5,Mixed Residential & Commercial Buildings,C1-3,30.0,1855.0,2318.75,0.0,3.0,9.0,3.0,8.0,44.0,21.0,0.0,2.0,0.0,2.0
3005560115,117 KING STREET,1683.0,R5,One & Two Family Buildings,,30.0,0.0,2103.75,0.0,0.0,0.0,2.0,5.0,33.0,2.0,0.0,0.0,0.0,0.0
3005460033,120 RICHARDS STREET,8347.0,R5,Public Facilities & Institutions,,30.0,0.0,10433.75,0.0,0.0,0.0,13.0,35.0,22.0,0.0,0.0,0.0,62.0,62.0
3005550020,338 VAN BRUNT STREET,3100.0,R5,One & Two Family Buildings,C1-3,30.0,3100.0,3875.0,1.0,5.0,15.0,5.0,13.0,22.0,2.0,0.0,0.0,0.0,0.0
